Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
NMI.t0,Military Grade Pilot Interface,2,4,,Asset,Equipment Link,0.0,When ~ enters the battlefield choose an asset to attach it to.\nIf the attached asset or an effect choosing it would create a psychosis card٫ that card is not created. \n[T]: The attached asset٫ until end of turn٫ becomes <u>Virtual</u> (Virtual cards can only interact with and choose other Virtual cards [this includes commanders].).,,,,,,
NMI.t1,Peacekeeper Rifle,2,4,,Asset,Equipment <u>Gun</u>,0.0,<u>Ammo 4</u> (Whenever the attached asset attacks or intercepts٫ reduce ~'s ammo by 1 [to a minimum of 0.] Instead of firing an ammo you may treat ~ as if it had ammo 0 until end of turn.)٫ <u>Gun</u> (As long as ~ has ammo remaining٫ the attached asset is ranged.)\nWhen ~ enters٫ choose an asset to attach it to.\nAs long as ~ has ammo remaining٫ the attached asset gets +2/+0 and <u>Brutal</u> (It attacks before assets without Brutal).,,,,,,
NMI.CMDRO,Karl Baade٫ Peacekeeper General,5,OOOOO\nOOOOO,,Commander,Augmented Male Peacekeeper General,,(Becomes `UN War Production` if you already control ~@.)\n<b><i>As Commander</i> --</b> Whenever an <u>Explicitly Female</u> (It must say Female in its type.) asset resolves٫ until end of turn٫ combatants you control get +1/+1.\n<b><i>As Asset</i> --</b> Combatants you control have <u>Inexhaustible</u> (Attacking and intercepting for the first time each turn doesn't utilize them.).,,4,4.0,,,
NMI.CMDROb,UN War Production,3/2,OO+,,R. Effect,<u>Personal</u>,0.0,<u>Prepare 2 -- [O][O][O]</u> (Pay [O][O][O] and put ~ into your deck second from the top. When you would draw ~٫ instead deploy it without paying its cost.)٫ <u>Decision</u> (You may choose one or more٫ this card's cost is the sum total of its base cost plus all decisions made. Choose one if you prepared.)\n-> <u>Build Machines -- [O][O][O][O][+]</u> Create a `Phalanx Assault Drone` in your hand.\n-> <u>Train Pilots -- [O][O][+]</u> Create a `Peacekeeper Pilot` in your hand.\n<u>Personal</u> (Shuffle `Karl Baade٫ Peacekeeper General` back into your deck.),,,,,,
NMI.O1,Peacekeeper Pilot,1,OO,Melee,Asset,Augmented Peacekeeper Pilot,,<u>Armed -- `Military Grade Pilot Interface`</u> (~ enters with a `Military Grade Pilot Interface` attached.)٫ <u>Armed -- `Peacekeeper Rifle`</u> (~ enters with a `Peacekeeper Rifle` attached.)\nAfter each combat ~ is used to Remote Control you may pay the Remote Controlled assets cost to ready ~.,,1,2.0,,,
NMI.O2,Peacekeeper Mechanic,4,4OOOO,Melee,Asset,Human Peacekeeper Mechanic,,<u>Armed -- `Peacekeeper Rifle`</u> (~ enters with a `Peacekeeper Rifle` attached.)\nWhenever a drone you control would die٫ you may instead <u>Forfeit</u> (Put the specified card into your discard pile.) ~ to٫ until end of turn٫ set the drone aside (it's health is refilled normally at the end of the turn).,,2,4.0,,,
NMI.O3,Phalanx Assault Drone,2,OOOO,Formation,Asset,Peacekeeper Drone,,<u>Flying</u>٫ <u>Remote Controlled</u>٫ <u>Formation - Attack Front X (X is the number of ~ on the battlefield)٫ Back 2</u> (Cards with Formation have their ranged status determined by their place in their formation; a formation consists of a mandatory melee card at the front and up to two ranged cards at the back. The attack power of the formation is the sum of all combatants in the formation. Combat damage is dealt to the front combatant before the back combatants. Formations can only be formed anytime you could reorganize units.),,*,3.0,,,
NMI.O4,Peacekeeper Waylay,10,17OOO,,Effect,<u>Response</u> Trap,,<u>Response</u> (You may deploy ~ during response windows.)\n~ costs [17] less to deploy if an opponent deployed a combatant this turn.\nChoose a combatant to get +1/+1 for each readied combatant on your frontline.,,,,,,
NMI.CMDRV,Xiaomao Zhao٫ BRICS Commander,4,6VV,Melee,Commander,Human Female BRICS Leader,,(Becomes `Hunker Down and Wait For Reinforcements` if you already control ~@.)\n<u>Armor 3</u> (Negate the first 3 damage ~@ would take each turn. When you do permanently reduce ~@'s armor by 1.)\n<b><i>As Commander</i> --</b> Whenever an asset you control enters the battlefield you may pay [V][V][+] if you do it gains <u>Armor X</u> (X is half its <u>Generalized Cost</u> rounded up).\n<b><i>As Asset</i> --</b> The first time an asset you control would run out of ammo٫ refill its ammo.,,2,3.0,,,(vitality) (小猫) 
NMI.CMDRVb,Hunker Down and Wait For Reinforcements,1,XXVV,,R. Effect,<u>Personal</u> <u>Response</u> Trap,0.0,If an opponent deployed a non-combatant card this turn٫ ~ costs [4] less. \nCombatants you control٫ until end of turn٫ gain <u>Armor [X]</u> (Negate the first [X] damage they would take each turn. When you do permanently reduce its armor by 1.). If [X] is [4] or more you may put an asset from your hand onto the battlefield and refill the ammo of all of your assets.\n<u>Personal</u> (Shuffle `Xiaomao Zhao٫ BRICS Commander` back into your deck.),,,,,,
